id,name,state_id/id,code
mun_alto_orinoco_am,Alto Orinoco,state_ve_am,AOR
mun_atabapo_am,Atabapo,state_ve_am,ATA
mun_atures_am,Atures,state_ve_am,ATU
mun_autana_am,Autana,state_ve_am,AUT
mun_maroa_am,Maroa,state_ve_am,MAR
mun_manapiare_am,Manapiare,state_ve_am,MAN
mun_rio_negro_am,Río Negro,state_ve_am,RNE
mun_anaco_an,Anaco,state_ve_an,ANA
mun_aragua_an,Aragua,state_ve_an,ARG
mun_fernando_peñalver_an,Fernando de Peñalver,state_ve_an,FPE
mun_freites_an,Freites,state_ve_an,FRE
mun_guanta_an,Guanta,state_ve_an,GUA
mun_independencia_an,Independencia,state_ve_an,IND
mun_juan_antonio_sotillo_an,Juan Antonio Sotillo,state_ve_an,JAS
mun_juan_manuela_cajigal_an,Juan Manuel Cajigal,state_ve_an,JMC
mun_libertad_an,Libertad,state_ve_an,LIB
mun_miranda_an,Miranda,state_ve_an,MIR
mun_monagas_an,Monagas,state_ve_an,MON
mun_peñalver_an,Peñalver,state_ve_an,PEN
mun_piritu_an,Píritu,state_ve_an,PIR
mun_san_jose_g_ana,Santa Ana,state_ve_an,SAN
mun_san_juan_capistrano_an,San Juan de Capistrano,state_ve_an,SJC
mun_simon_bolivar_an,Simón Bolívar,state_ve_an,SBO
mun_simon_rodriguez_an,Simón Rodríguez,state_ve_an,SRO
mun_sotillo_an,Sotillo,state_ve_an,SOT
mun_urbaneja_an,Urbaneja,state_ve_an,URB
mun_bruzual_an,Bruzual,state_ve_an,BRU
mun_carrizal_an,Carvajal,state_ve_an,CAR
mun_biruel_ap,Achaguas,state_ve_ap,ACH
mun_biruel_ap,Biruel,state_ve_ap,BIR
mun_munoz_ap,Muñoz,state_ve_ap,MUN
mun_paez_ap,Paéz,state_ve_ap,PAE
mun_pedro_camejo_ap,Pedro Camejo,state_ve_ap,PCM
mun_romulo_gallegos_ap,Rómulo Gallegos,state_ve_ap,RGA
mun_san_fernando_ap,San Fernando,state_ve_ap,SFE
mun_biruaca_ap,Biruaca,state_ve_ap,BIR
mun_bolivar_ar,Bolívar,state_ve_ar,BOL
mun_camatiagua_ar,Camatagua,state_ve_ar,CAM
mun_girardot_ar,Girardot,state_ve_ar,GIR
mun_fla_ar,Francisco Linares Alcántara,state_ve_ar,FLA
mun_jose_felix_ribas_ar,José Félix Ribas,state_ve_ar,JFR
mun_jose_rangel_ar,José Rafael Revenga,state_ve_ar,JRR
mun_lamas_ar,Lamas,state_ve_ar,LAM
mun_libertador_ar,Libertador,state_ve_ar,LIB
mun_mario_briceño_ar,Mario Briceño Iragorry,state_ve_ar,MBI
mun_mariño_ar,Mariño,state_ve_ar,MAR
mun_miranda_ar,Miranda,state_ve_ar,MIR
mun_ocumare_ar,Ocumare de la Costa,state_ve_ar,OCU
mun_san_casimiro_ar,San Casimiro,state_ve_ar,SCA
mun_san_sebastian_ar,San Sebastián,state_ve_ar,SSE
mun_santiago_marino_ar,Santiago Mariño,state_ve_ar,SMR
mun_santos_michelena_ar,Santos Michelena,state_ve_ar,SMI
mun_sucre_ar,Sucre,state_ve_ar,SUC
mun_tovar_ar,Tovar,state_ve_ar,TOV
mun_alberto_arvelo_ba,Alberto Arvelo Torrealba,state_ve_ba,AAT
mun_andres_e_blanco_ba,Andrés Eloy Blanco,state_ve_ba,AEB
mun_arismendi_ba,Arismendi,state_ve_ba,ARI
mun_barinas_ba,Barinas,state_ve_ba,BAR
mun_bolivar_ba,Bolívar,state_ve_ba,BOL
mun_cruz_paredes_ba,Cruz Paredes,state_ve_ba,CRP
mun_ezequiel_zamora_ba,Ezequiel Zamora,state_ve_ba,EZA
mun_obispos_ba,Obispos,state_ve_ba,OBI
mun_pedraza_ba,Pedraza,state_ve_ba,PED
mun_rivas_davila_ba,Rojas,state_ve_ba,ROJ
mun_sosa_ba,Sosa,state_ve_ba,SOS
mun_simon_bolivar_ba,Sucre,state_ve_ba,SUC
mun_her_soto_bo,Herés (Ciudad Bolívar),state_ve_bo,HER
mun_caroni_bo,Caroní (Ciudad Guayana),state_ve_bo,CAR
mun_cedeno_bo,Cedeño,state_ve_bo,CED
mun_el_callao_bo,El Callao,state_ve_bo,ECA
mun_gran_sabana_bo,Gran Sabana,state_ve_bo,GSA
mun_padre_pedro_chien_bo,Padre Pedro Chien,state_ve_bo,PPC
mun_pi_ar_bo,Piar,state_ve_bo,PIA
mun_raul_leoni_bo,Raúl Leoni,state_ve_bo,RLE
mun_roscio_bo,Roscio,state_ve_bo,ROS
mun_sifontes_bo,Sifontes,state_ve_bo,SIF
mun_sucre_bo,Sucre,state_ve_bo,SUC
mun_bejuma_ca,Bejuma,state_ve_ca,BEJ
mun_carlos_arvelo_ca,Carlos Arvelo,state_ve_ca,CAR
mun_diego_ibarra_ca,Diego Ibarra,state_ve_ca,DIB
mun_guacara_ca,Guacara,state_ve_ca,GUA
mun_juan_jose_mora_ca,Juan José Mora,state_ve_ca,JJM
mun_libertador_ca,Libertador,state_ve_ca,LIB
