id,name,municipality_id/id,code
par_la_esmeralda_alto_orinoco_am,La Esmeralda,mun_alto_orinoco_am,ESM
par_huachamacare_alto_orinoco_am,Huachamacare,mun_alto_orinoco_am,HUA
par_marawaka_alto_orinoco_am,Marawaka,mun_alto_orinoco_am,MWK
par_mavaca_alto_orinoco_am,Mavaca,mun_alto_orinoco_am,MAV
par_sierra_parima_alto_orinoco_am,Sierra Parima,mun_alto_orinoco_am,SPA
par_san_fernando_atabapo_am,San Fernando de Atabapo,mun_atabapo_am,SFA
par_urbana_atabapo_am,Urbana,mun_atabapo_am,URB
par_puerto_ayacucho_atures_am,Puerto Ayacucho,mun_atures_am,PAY
par_fernando_giron_atures_am,Fernando Girón Tovar,mun_atures_am,FGT
par_luis_rivas_atures_am,Luis Alberto Rivas,mun_atures_am,LAR
par_isla_raton_autana_am,Isla Ratón,mun_autana_am,IRT
par_samariapo_autana_am,Samariapo,mun_autana_am,SAM
par_sipapo_autana_am,Sipapo,mun_autana_am,SIP
par_solano_autana_am,Solano,mun_autana_am,SOL
par_maroa_maroa_am,Maroa,mun_maroa_am,MAR
par_victorino_maroa_am,Victorino,mun_maroa_am,VIC
par_san_juan_manapiare_am,San Juan de Manapiare,mun_manapiare_am,SJM
par_san_carlos_rio_negro_am,San Carlos de Río Negro,mun_rio_negro_am,SCR
par_solano_rio_negro_am,Solano,mun_rio_negro_am,SOLR
par_anaco_an,Anaco,mun_anaco_an,ANA
par_san_joaquin_an,San Joaquín,mun_anaco_an,SJQ
par_aragua_an,Aragua de Barcelona,mun_aragua_an,ARG
par_cachipo_an,Cachipo,mun_aragua_an,CAC
par_puerto_piritu_an,Puerto Píritu,mun_fernando_peñalver_an,PPI
par_san_miguel_an,San Miguel,mun_fernando_peñalver_an,SMI
par_sucre_an,Sucre,mun_fernando_peñalver_an,SUC
par_cantaura_an,Cantaura,mun_freites_an,CAN
par_libertador_freites_an,Libertador,mun_freites_an,LIB
par_santa_rosa_freites_an,Santa Rosa,mun_freites_an,SRO
par_guanta_an,Guanta,mun_guanta_an,GUA
par_chorreron_an,Chorrerón,mun_guanta_an,CHO
par_soledad_an,Soledad,mun_independencia_an,SOL
par_puerto_la_cruz_an,Puerto La Cruz,mun_juan_antonio_sotillo_an,PLC
par_chuparin_an,Chuparín,mun_juan_antonio_sotillo_an,CHU
par_onoto_an,Onoto,mun_juan_manuela_cajigal_an,ONO
par_san_pablo_an,San Pablo,mun_juan_manuela_cajigal_an,SPB
par_san_mateo_an,San Mateo,mun_libertad_an,SMT
par_el_carmen_an,El Carmen,mun_libertad_an,ECM
par_pariaguan_an,Pariaguán,mun_miranda_an,PAR
par_mapire_an,Mapire,mun_monagas_an,MAP
par_piar_an,Piar,mun_monagas_an,PIA
par_santa_clara_an,Santa Clara,mun_monagas_an,SCL
par_clarines_an,Clarines,mun_peñalver_an,CLA
par_guraguao_an,Guraguaro,mun_peñalver_an,GUR
par_sabana_de_piedra_an,Sabana de Piedra,mun_peñalver_an,SPD
par_piritu_an,Píritu,mun_piritu_an,PIR
par_san_francisco_an,San Francisco,mun_piritu_an,SFR
par_santa_ana_an,Santa Ana,mun_san_jose_g_ana,SAN
par_pueblo_nuevo_an,Pueblo Nuevo,mun_san_jose_g_ana,PNU
par_boca_uchire_an,Boca de Uchire,mun_san_juan_capistrano_an,BUC
par_boca_de_chavez_an,Boca de Chávez,mun_san_juan_capistrano_an,BCH
par_barcelona_an,Barcelona,mun_simon_bolivar_an,BAR
par_el_carmen_bolivar_an,El Carmen,mun_simon_bolivar_an,ECM
par_san_cristobal_an,San Cristóbal,mun_simon_bolivar_an,SCR
par_bergantin_an,Bergantín,mun_simon_bolivar_an,BER
par_caigua_an,Caigua,mun_simon_bolivar_an,CAI
par_naricual_an,Naricual,mun_simon_bolivar_an,NAR
par_el_tigre_an,El Tigre,mun_simon_rodriguez_an,TIG
par_san_jose_g_an,San José de Guanipa,mun_simon_rodriguez_an,SJG
par_lecheria_an,Lechería,mun_sotillo_an,LEC
par_el_morro_an,El Morro,mun_sotillo_an,MOR
par_diego_bautista_an,Diego Bautista Urbaneja,mun_urbaneja_an,DBU
par_achaguas_achaguas_ap,Achaguas,mun_biruel_ap,ACH
par_apurito_achaguas_ap,Apurito,mun_biruel_ap,APU
par_el_yagual_achaguas_ap,El Yagual,mun_biruel_ap,EYG
par_guachara_achaguas_ap,Guachara,mun_biruel_ap,GUA
par_mucuritas_achaguas_ap,Mucuritas,mun_biruel_ap,MUC
par_queseras_achaguas_ap,Queseras del Medio,mun_biruel_ap,QDM
par_biruaca_biruaca_ap,Biruaca,mun_biruaca_ap,BIR
par_bruzual_munoz_ap,Bruzual,mun_munoz_ap,BRU
par_mantecal_munoz_ap,Mantecal,mun_munoz_ap,MAN
par_quirachiro_munoz_ap,Quirachiro,mun_munoz_ap,QUI
par_san_vicente_munoz_ap,San Vicente,mun_munoz_ap,SVC
par_guasdualito_paez_ap,Guasdualito,mun_paez_ap,GUA
par_arichuna_paez_ap,Arichuna,mun_paez_ap,ARI
par_el_amparo_paez_ap,El Amparo,mun_paez_ap,AMP
par_san_camilo_paez_ap,San Camilo,mun_paez_ap,SCM
par_urrutia_paez_ap,Urdaneta,mun_paez_ap,URD
par_san_jose_camejo_ap,San José de Guaribe,mun_pedro_camejo_ap,SJG
par_codazzi_camejo_ap,Codazzi,mun_pedro_camejo_ap,COD
par_cunaviche_camejo_ap,Cunaviche,mun_pedro_camejo_ap,CUN
par_elorza_romulo_ap,Elorza,mun_romulo_gallegos_ap,ELO
par_la_trinidad_romulo_ap,La Trinidad,mun_romulo_gallegos_ap,LTR
par_san_fernando_sanfernando_ap,San Fernando,mun_san_fernando_ap,SFE
par_el_recreo_sanfernando_ap,El Recreo,mun_san_fernando_ap,REC
par_peñalver_sanfernando_ap,Peñalver,mun_san_fernando_ap,PEN
par_san_mateo_bolivar_ar,San Mateo,mun_bolivar_ar,SMT
par_camatagua_camatagua_ar,Camatagua,mun_camatiagua_ar,CAM
par_carmen_camatagua_ar,Carmen de Cura,mun_camatiagua_ar,CDC
par_santa_rita_fla_ar,Santa Rita,mun_fla_ar,SRT
par_francisco_linares_ar,Francisco Linares Alcántara,mun_fla_ar,FLA
par_monterrey_fla_ar,Monterrey,mun_fla_ar,MON
par_las_delicias_girardot_ar,Las Delicias,mun_girardot_ar,DEL
par_choroni_girardot_ar,Choroní,mun_girardot_ar,CHO
par_joaquin_crespo_girardot_ar,Joaquín Crespo,mun_girardot_ar,JCR
par_madre_maria_girardot_ar,Madre María,mun_girardot_ar,MMR
par_pedro_jose_ovalles_girardot_ar,Pedro José Ovalles,mun_girardot_ar,PJO
par_jose_casal_girardot_ar,José Casal,mun_girardot_ar,JCA
par_victoria_ribas_ar,La Victoria,mun_jose_felix_ribas_ar,LVIC
par_zua_ribas_ar,Zua,mun_jose_felix_ribas_ar,ZUA
par_castor_ribas_ar,Castor Nieves Ríos,mun_jose_felix_ribas_ar,CNR
par_las_guacamayas_ribas_ar,Las Guacamayas,mun_jose_felix_ribas_ar,LGU
par_pao_ribas_ar,Pao de Zárate,mun_jose_felix_ribas_ar,PAO
par_el_consejo_revenga_ar,El Consejo,mun_jose_rangel_ar,CON
par_santa_cruz_lamas_ar,Santa Cruz,mun_lamas_ar,SCR
par_palo_negro_libertador_ar,Palo Negro,mun_libertador_ar,PNG
par_san_martin_libertador_ar,San Martín,mun_libertador_ar,SMT
par_el_limón_mbi_ar,El Limón,mun_mario_briceño_ar,ELM
par_caña_de_azucar_mbi_ar,Caña de Azúcar,mun_mario_briceño_ar,CDA
par_turmero_marino_ar,Turmero,mun_mariño_ar,TUR
par_samán_marino_ar,Samán de Güere,mun_mariño_ar,SGU
par_santa_rita_miranda_ar,Santa Rita,mun_miranda_ar,SRT
par_san_francisco_miranda_ar,San Francisco,mun_miranda_ar,SFR
par_ocumare_ocumare_ar,Ocumare de la Costa,mun_ocumare_ar,OCU
par_san_casimiro_scas_ar,San Casimiro,mun_san_casimiro_ar,SCA
par_gabriel_picon_scas_ar,Gabriel Picón,mun_san_casimiro_ar,GPI
par_san_sebastian_sseb_ar,San Sebastián,mun_san_sebastian_ar,SSE
par_mariño_smar_ar,Mariño,mun_santiago_marino_ar,MAR
par_araguita_smar_ar,Aragüita,mun_santiago_marino_ar,ARG
par_chuao_smar_ar,Chuao,mun_santiago_marino_ar,CHU
par_samán_smar_ar,Samán de Güere,mun_santiago_marino_ar,SGU
par_las_tejerias_smic_ar,Las Tejerías,mun_santos_michelena_ar,LTJ
par_tiara_smic_ar,Tiara,mun_santos_michelena_ar,TIA
par_cagua_sucre_ar,Cagua,mun_sucre_ar,CAG
par_bella_vista_sucre_ar,Bella Vista,mun_sucre_ar,BVI
par_tovar_tovar_ar,Tovar,mun_tovar_ar,TOV
par_sabaneta_aatorrealba_ba,Sabaneta,mun_alberto_arvelo_ba,SAB
par_rodriguez_dominguez_aatorrealba_ba,Rodríguez Domínguez,mun_alberto_arvelo_ba,RDO
par_el_canton_aeb_ba,El Cantón,mun_andres_e_blanco_ba,CAN
par_santa_cruz_aeb_ba,Santa Cruz de Guacas,mun_andres_e_blanco_ba,SCG
par_potrerito_aeb_ba,Potrerito,mun_andres_e_blanco_ba,POT
par_arismendi_arismendi_ba,Arismendi,mun_arismendi_ba,ARI
par_guadarrama_arismendi_ba,Guadarrama,mun_arismendi_ba,GUA
par_la_union_arismendi_ba,La Unión,mun_arismendi_ba,LUN
par_san_antonio_arismendi_ba,San Antonio,mun_arismendi_ba,SAN
par_barinas_barinas_ba,Barinas,mun_barinas_ba,BAR
par_ramon_ignacio_mendez_barinas_ba,Ramón Ignacio Méndez,mun_barinas_ba,RIM
par_alto_barinas_barinas_ba,Alto Barinas,mun_barinas_ba,ALB
par_corazon_jesus_barinas_ba,Corazón de Jesús,mun_barinas_ba,CDJ
par_manuel_palacio_barinas_ba,Manuel Palacio Fajardo,mun_barinas_ba,MPF
par_dolores_barinas_ba,Dolores,mun_barinas_ba,DOL
par_barrancas_barinas_ba,Barrancas,mun_barinas_ba,BAR2
par_el_carmen_barinas_ba,El Carmen,mun_barinas_ba,ECM
par_romulo_betancourt_barinas_ba,Rómulo Betancourt,mun_barinas_ba,RBT
par_juan_pablo_barinas_ba,Juan Pablo II,mun_barinas_ba,JP2
par_barinitas_bolivar_ba,Barinitas,mun_bolivar_ba,BTS
par_altamira_bolivar_ba,Altamira,mun_bolivar_ba,ALT
par_calderas_bolivar_ba,Calderas,mun_bolivar_ba,CAL
par_barrancas_cruzparedes_ba,Barrancas,mun_cruz_paredes_ba,BAR3
par_el_socorro_cruzparedes_ba,El Socorro,mun_cruz_paredes_ba,ESO
par_masia_cruzparedes_ba,Masparrito,mun_cruz_paredes_ba,MAS
par_santa_barbara_ez_ba,Santa Bárbara,mun_ezequiel_zamora_ba,SBA
par_jose_ignacio_del_pumar_ez_ba,José Ignacio del Pumar,mun_ezequiel_zamora_ba,JIP
par_pedro_briceño_ez_ba,Pedro Briceño Méndez,mun_ezequiel_zamora_ba,PBM
par_ramón_ignacio_ez_ba,Ramón Ignacio Méndez,mun_ezequiel_zamora_ba,RIM2
par_obispos_obispos_ba,Obispos,mun_obispos_ba,OBI
par_los_guasimitos_obispos_ba,Los Guasimitos,mun_obispos_ba,LGU
par_el_real_obispos_ba,El Real,mun_obispos_ba,ERE
par_la_luz_obispos_ba,La Luz,mun_obispos_ba,LUZ
par_ciudad_bolivia_pedraza_ba,Ciudad Bolivia,mun_pedraza_ba,CBO
par_ignacio_bravo_pedraza_ba,Ignacio Briceño,mun_pedraza_ba,IBR
par_piedra_azul_pedraza_ba,Piedra Azul,mun_pedraza_ba,PAZ
par_rodriguez_pedraza_ba,Rodríguez,mun_pedraza_ba,ROD
par_libertad_rojas_ba,Libertad,mun_rivas_davila_ba,LIB
par_dolores_rojas_ba,Dolores,mun_rivas_davila_ba,DOL2
par_palo_alto_rojas_ba,Palo Alto,mun_rivas_davila_ba,PAL
par_ciudad_de_nutrias_sosa_ba,Ciudad de Nutrias,mun_sosa_ba,NUT
par_el_regalo_sosa_ba,El Regalo,mun_sosa_ba,REG
par_puerto_de_nutrias_sosa_ba,Puerto de Nutrias,mun_sosa_ba,PDN
par_santa_catalina_sosa_ba,Santa Catalina,mun_sosa_ba,SCA
par_catedral_heres_bo,Catedral,mun_her_soto_bo,CAT
par_agua_salud_heres_bo,Agua Salada,mun_her_soto_bo,ASL
par_marhuanta_heres_bo,Marhuanta,mun_her_soto_bo,MRH
par_la_sabanita_heres_bo,La Sabanita,mun_her_soto_bo,LSA
par_vista_hermosa_heres_bo,Vista Hermosa,mun_her_soto_bo,VHE
par_unare_caroni_bo,Unare,mun_caroni_bo,UNA
par_universidad_caroni_bo,Universidad,mun_caroni_bo,UNI
par_dalla_costa_caroni_bo,Dalla Costa,mun_caroni_bo,DCO
par_chirica_caroni_bo,Chirica,mun_caroni_bo,CHI
