id,country_id,code,name
state_ve_am,Venezuela,VE-AM,Amazonas
state_ve_an,Venezuela,VE-AN,Anzoátegui
state_ve_ap,Venezuela,VE-AP,Apure
state_ve_ar,Venezuela,VE-AR,Aragua
state_ve_ba,Venezuela,VE-BA,Barinas
state_ve_bo,Venezuela,VE-BO,Bolívar
state_ve_ca,Venezuela,VE-CA,Carabobo
state_ve_co,Venezuela,VE-CO,Cojedes
state_ve_da,Venezuela,VE-DA,Delta Amacuro
state_ve_dc,Venezuela,VE-DC,Distrito Capital
state_ve_fa,Venezuela,VE-FA,Falcón
state_ve_gu,Venezuela,VE-GU,Guárico
state_ve_la,Venezuela,VE-LA,Lara
state_ve_me,Venezuela,VE-ME,Mérida
state_ve_mi,Venezuela,VE-MI,Miranda
state_ve_mo,Venezuela,VE-MO,Monagas
state_ve_ne,Venezuela,VE-NE,Nueva Esparta
state_ve_po,Venezuela,VE-PO,Portuguesa
state_ve_su,Venezuela,VE-SU,Sucre
state_ve_ta,Venezuela,VE-TA,Táchira
state_ve_tr,Venezuela,VE-TR,Trujillo
state_ve_lg,Venezuela,VE-V,La Guaira
state_ve_ya,Venezuela,VE-YA,Yaracuy
state_ve_zu,Venezuela,VE-ZU,Zulia
